Type,Policy Name,Path,Standard,Customer,State
IntuneAttackSurfaceReductionPolicyConfiguration,B365-WinServer-Endpoint-ASR-Attack Surface Reduction Rules (Audit Only) v4.1 - attacksurfacereductionrules_blockofficeapplicationsfromcreatingexecutablecontent-WinServer,/attacksurfacereductionrules_blockofficeapplicationsfromcreatingexecutablecontent-WinServer,"""blockofficeapplicationsfromcreatingexecutablecontent_block""","""blockofficeapplicationsfromcreatingexecutablecontent_audit""",OutOfSync
IntuneAttackSurfaceReductionPolicyConfiguration,B365-WinServer-Endpoint-ASR-Attack Surface Reduction Rules (Audit Only) v4.1 - attacksurfacereductionrules_blockofficeapplicationsfrominjectingcodeintootherprocesses-WinServer,/attacksurfacereductionrules_blockofficeapplicationsfrominjectingcodeintootherprocesses-WinServer,"""blockofficeapplicationsfrominjectingcodeintootherprocesses_block""","""blockofficeapplicationsfrominjectingcodeintootherprocesses_audit""",OutOfSync
IntuneAttackSurfaceReductionPolicyConfiguration,B365-WinServer-Endpoint-ASR-Attack Surface Reduction Rules (Audit Only) v4.1 - attacksurfacereductionrules_blockallofficeapplicationsfromcreatingchildprocesses-WinServer,/attacksurfacereductionrules_blockallofficeapplicationsfromcreatingchildprocesses-WinServer,"""blockallofficeapplicationsfromcreatingchildprocesses_block""","""blockallofficeapplicationsfromcreatingchildprocesses_audit""",OutOfSync
IntuneAttackSurfaceReductionPolicyConfiguration,B365-WinServer-Endpoint-ASR-Attack Surface Reduction Rules (Audit Only) v4.1 - attacksurfacereductionrules_blockexecutablecontentfromemailclientandwebmail-WinServer,/attacksurfacereductionrules_blockexecutablecontentfromemailclientandwebmail-WinServer,"""blockexecutablecontentfromemailclientandwebmail_block""","""blockexecutablecontentfromemailclientandwebmail_audit""",OutOfSync
IntuneAttackSurfaceReductionPolicyConfiguration,B365-W10/11-Endpoint-ASR-Attack Surface Reduction Rules (Audit Only) v4.1 - defender_enablecontrolledfolderaccess-Win10,/defender_enablecontrolledfolderaccess-Win10,"""enablecontrolledfolderaccess_1""","""enablecontrolledfolderaccess_2""",OutOfSync
IntuneAttackSurfaceReductionPolicyConfiguration,B365-W10/11-Endpoint-ASR-Attack Surface Reduction Rules (Audit Only) v4.1 - defender_enablecontrolledfolderaccess-Win11,/defender_enablecontrolledfolderaccess-Win11,"""enablecontrolledfolderaccess_1""","""enablecontrolledfolderaccess_2""",OutOfSync
IntuneAttackSurfaceReductionPolicyConfiguration,B365-W10/11-Endpoint-ASR-Attack Surface Reduction Rules (Audit Only) v4.1 - attacksurfacereductionrules_blockofficeapplicationsfrominjectingcodeintootherprocesses-Win10,/attacksurfacereductionrules_blockofficeapplicationsfrominjectingcodeintootherprocesses-Win10,"""blockofficeapplicationsfrominjectingcodeintootherprocesses_block""","""blockofficeapplicationsfrominjectingcodeintootherprocesses_audit""",OutOfSync
IntuneAttackSurfaceReductionPolicyConfiguration,B365-W10/11-Endpoint-ASR-Attack Surface Reduction Rules (Audit Only) v4.1 - attacksurfacereductionrules_blockofficeapplicationsfrominjectingcodeintootherprocesses-Win11,/attacksurfacereductionrules_blockofficeapplicationsfrominjectingcodeintootherprocesses-Win11,"""blockofficeapplicationsfrominjectingcodeintootherprocesses_block""","""blockofficeapplicationsfrominjectingcodeintootherprocesses_audit""",OutOfSync
IntuneAttackSurfaceReductionPolicyConfiguration,B365-W10/11-Endpoint-ASR-Attack Surface Reduction Rules (Audit Only) v4.1 - attacksurfacereductionrules_blockofficeapplicationsfromcreatingexecutablecontent-Win11,/attacksurfacereductionrules_blockofficeapplicationsfromcreatingexecutablecontent-Win11,"""blockofficeapplicationsfromcreatingexecutablecontent_block""","""blockofficeapplicationsfromcreatingexecutablecontent_audit""",OutOfSync
IntuneAttackSurfaceReductionPolicyConfiguration,B365-W10/11-Endpoint-ASR-Attack Surface Reduction Rules (Audit Only) v4.1 - attacksurfacereductionrules_blockofficeapplicationsfromcreatingexecutablecontent-Win10,/attacksurfacereductionrules_blockofficeapplicationsfromcreatingexecutablecontent-Win10,"""blockofficeapplicationsfromcreatingexecutablecontent_block""","""blockofficeapplicationsfromcreatingexecutablecontent_audit""",OutOfSync
