Type,Policy Name,Path,Standard,Customer,State
MdcaAvailablePolicies,Activity from anonymous IP addresses,/readOnly,"","""False""",MissingInStandard
MdcaAvailablePolicies,Activity from anonymous IP addresses,/templateId,"","null",MissingInStandard
MdcaGeneralSettings,MDCA General Settings,/domains/0,"""bpsocdev.onmicrosoft.com""","",MissinginCustomer
MdcaGeneralSettings,MDCA General Settings,/domains/0,"","""wilsoninsurancenb.mail.onmicrosoft.com""",MissingInStandard
MdcaGeneralSettings,MDCA General Settings,/domains/1,"","""wilson.nb.ca""",MissingInStandard
MdcaGeneralSettings,MDCA General Settings,/domains/2,"","""wilsoninsurancenb.onmicrosoft.com""",MissingInStandard
MdcaGeneralSettings,MDCA General Settings,/allowAzIP,"""false""","""True""",OutOfSync
MdcaGeneralSettings,MDCA General Settings,/fileMonitoring/shouldEnableAfterDeletion,"""false""","",MissinginCustomer
IntuneIntentsPolicies,B365-W10/11-Endpoint-ASR-Application Control (SmartScreen Edge Only) v4.1 - deviceConfiguration--windows10EndpointProtectionConfiguration_appLockerApplicationControl,/deviceConfiguration--windows10EndpointProtectionConfiguration_appLockerApplicationControl,"""NotConfigured""","""auditComponentsStoreAppsAndSmartlocker""",OutOfSync
IntuneEnrollmentLimitConfigurations,All users and all devices,/limit,"""5""","""8""",OutOfSync
IntuneEnrollmentRestrictionConfigurations,All users and all devices,/androidRestriction/platformBlocked,"""true""","""False""",OutOfSync
IntuneEnrollmentRestrictionConfigurations,All users and all devices,/macOSRestriction/personalDeviceEnrollmentBlocked,"""true""","""False""",OutOfSync
IntuneEnrollmentRestrictionConfigurations,All users and all devices,/macRestriction/personalDeviceEnrollmentBlocked,"""true""","""False""",OutOfSync
IntuneEnrollmentRestrictionConfigurations,All users and all devices,/windowsHomeSkuRestriction/personalDeviceEnrollmentBlocked,"""true""","""False""",OutOfSync
IntuneEnrollmentRestrictionConfigurations,All users and all devices,/windowsRestriction/personalDeviceEnrollmentBlocked,"""true""","""False""",OutOfSync
IntuneAttackSurfaceReductionPolicyConfiguration,B365-W10-Endpoint-ASR-Attack Surface Reduction Rules-LessRestrictive - defender_enablecontrolledfolderaccess-WinServer,/defender_enablecontrolledfolderaccess-WinServer,"""enablecontrolledfolderaccess_1""","""enablecontrolledfolderaccess_2""",OutOfSync
IntuneAttackSurfaceReductionPolicyConfiguration,B365-W10-Endpoint-ASR-Attack Surface Reduction Rules-LessRestrictive - defender_enablecontrolledfolderaccess-Win11,/defender_enablecontrolledfolderaccess-Win11,"""enablecontrolledfolderaccess_1""","""enablecontrolledfolderaccess_2""",OutOfSync
IntuneAttackSurfaceReductionPolicyConfiguration,B365-W10-Endpoint-ASR-Attack Surface Reduction Rules-LessRestrictive - defender_enablecontrolledfolderaccess-Win10,/defender_enablecontrolledfolderaccess-Win10,"""enablecontrolledfolderaccess_1""","""enablecontrolledfolderaccess_2""",OutOfSync
IntuneAttackSurfaceReductionPolicyConfiguration,B365-W10-Endpoint-ASR-Attack Surface Reduction Rules-LessRestrictive - attacksurfacereductionrules_blockexecutablecontentfromemailclientandwebmail-Win11,/attacksurfacereductionrules_blockexecutablecontentfromemailclientandwebmail-Win11,"""blockexecutablecontentfromemailclientandwebmail_block""","""blockexecutablecontentfromemailclientandwebmail_audit""",OutOfSync
IntuneAttackSurfaceReductionPolicyConfiguration,B365-W10-Endpoint-ASR-Attack Surface Reduction Rules-LessRestrictive - attacksurfacereductionrules_blockexecutablecontentfromemailclientandwebmail-WinServer,/attacksurfacereductionrules_blockexecutablecontentfromemailclientandwebmail-WinServer,"""blockexecutablecontentfromemailclientandwebmail_block""","""blockexecutablecontentfromemailclientandwebmail_audit""",OutOfSync
IntuneAttackSurfaceReductionPolicyConfiguration,B365-W10-Endpoint-ASR-Attack Surface Reduction Rules-LessRestrictive - attacksurfacereductionrules_blockexecutablecontentfromemailclientandwebmail-Win10,/attacksurfacereductionrules_blockexecutablecontentfromemailclientandwebmail-Win10,"""blockexecutablecontentfromemailclientandwebmail_block""","""blockexecutablecontentfromemailclientandwebmail_audit""",OutOfSync
IntuneAttackSurfaceReductionPolicyConfiguration,B365-W10-Endpoint-ASR-Attack Surface Reduction Rules-LessRestrictive - attacksurfacereductionrules_useadvancedprotectionagainstransomware-Win11,/attacksurfacereductionrules_useadvancedprotectionagainstransomware-Win11,"""useadvancedprotectionagainstransomware_block""","""useadvancedprotectionagainstransomware_audit""",OutOfSync
IntuneAttackSurfaceReductionPolicyConfiguration,B365-W10-Endpoint-ASR-Attack Surface Reduction Rules-LessRestrictive - attacksurfacereductionrules_useadvancedprotectionagainstransomware-WinServer,/attacksurfacereductionrules_useadvancedprotectionagainstransomware-WinServer,"""useadvancedprotectionagainstransomware_block""","""useadvancedprotectionagainstransomware_audit""",OutOfSync
IntuneAttackSurfaceReductionPolicyConfiguration,B365-W10-Endpoint-ASR-Attack Surface Reduction Rules-LessRestrictive - attacksurfacereductionrules_useadvancedprotectionagainstransomware-Win10,/attacksurfacereductionrules_useadvancedprotectionagainstransomware-Win10,"""useadvancedprotectionagainstransomware_block""","""useadvancedprotectionagainstransomware_audit""",OutOfSync
IntuneAttackSurfaceReductionPolicyConfiguration,B365-W10-Endpoint-ASR-Attack Surface Reduction Rules-LessRestrictive - attacksurfacereductionrules_blockofficeapplicationsfrominjectingcodeintootherprocesses-WinServer,/attacksurfacereductionrules_blockofficeapplicationsfrominjectingcodeintootherprocesses-WinServer,"""blockofficeapplicationsfrominjectingcodeintootherprocesses_block""","""blockofficeapplicationsfrominjectingcodeintootherprocesses_audit""",OutOfSync
IntuneAttackSurfaceReductionPolicyConfiguration,B365-W10-Endpoint-ASR-Attack Surface Reduction Rules-LessRestrictive - attacksurfacereductionrules_blockofficeapplicationsfrominjectingcodeintootherprocesses-Win11,/attacksurfacereductionrules_blockofficeapplicationsfrominjectingcodeintootherprocesses-Win11,"""blockofficeapplicationsfrominjectingcodeintootherprocesses_block""","""blockofficeapplicationsfrominjectingcodeintootherprocesses_audit""",OutOfSync
IntuneAttackSurfaceReductionPolicyConfiguration,B365-W10-Endpoint-ASR-Attack Surface Reduction Rules-LessRestrictive - attacksurfacereductionrules_blockofficeapplicationsfrominjectingcodeintootherprocesses-Win10,/attacksurfacereductionrules_blockofficeapplicationsfrominjectingcodeintootherprocesses-Win10,"""blockofficeapplicationsfrominjectingcodeintootherprocesses_block""","""blockofficeapplicationsfrominjectingcodeintootherprocesses_audit""",OutOfSync
IntuneAttackSurfaceReductionPolicyConfiguration,B365-W10-Endpoint-ASR-Attack Surface Reduction Rules-LessRestrictive - attacksurfacereductionrules_blockofficeapplicationsfromcreatingexecutablecontent-WinServer,/attacksurfacereductionrules_blockofficeapplicationsfromcreatingexecutablecontent-WinServer,"""blockofficeapplicationsfromcreatingexecutablecontent_block""","""blockofficeapplicationsfromcreatingexecutablecontent_audit""",OutOfSync
IntuneAttackSurfaceReductionPolicyConfiguration,B365-W10-Endpoint-ASR-Attack Surface Reduction Rules-LessRestrictive - attacksurfacereductionrules_blockofficeapplicationsfromcreatingexecutablecontent-Win11,/attacksurfacereductionrules_blockofficeapplicationsfromcreatingexecutablecontent-Win11,"""blockofficeapplicationsfromcreatingexecutablecontent_block""","""blockofficeapplicationsfromcreatingexecutablecontent_audit""",OutOfSync
IntuneAttackSurfaceReductionPolicyConfiguration,B365-W10-Endpoint-ASR-Attack Surface Reduction Rules-LessRestrictive - attacksurfacereductionrules_blockpersistencethroughwmieventsubscription-WinServer,/attacksurfacereductionrules_blockpersistencethroughwmieventsubscription-WinServer,"""blockpersistencethroughwmieventsubscription_block""","""blockpersistencethroughwmieventsubscription_audit""",OutOfSync
IntuneAttackSurfaceReductionPolicyConfiguration,B365-W10-Endpoint-ASR-Attack Surface Reduction Rules-LessRestrictive - attacksurfacereductionrules_blockofficeapplicationsfromcreatingexecutablecontent-Win10,/attacksurfacereductionrules_blockofficeapplicationsfromcreatingexecutablecontent-Win10,"""blockofficeapplicationsfromcreatingexecutablecontent_block""","""blockofficeapplicationsfromcreatingexecutablecontent_audit""",OutOfSync
IntuneAttackSurfaceReductionPolicyConfiguration,B365-W10-Endpoint-ASR-Attack Surface Reduction Rules-LessRestrictive - attacksurfacereductionrules_blockpersistencethroughwmieventsubscription-Win11,/attacksurfacereductionrules_blockpersistencethroughwmieventsubscription-Win11,"""blockpersistencethroughwmieventsubscription_block""","""blockpersistencethroughwmieventsubscription_audit""",OutOfSync
IntuneAttackSurfaceReductionPolicyConfiguration,B365-W10-Endpoint-ASR-Attack Surface Reduction Rules-LessRestrictive - attacksurfacereductionrules_blockpersistencethroughwmieventsubscription-Win10,/attacksurfacereductionrules_blockpersistencethroughwmieventsubscription-Win10,"""blockpersistencethroughwmieventsubscription_block""","""blockpersistencethroughwmieventsubscription_audit""",OutOfSync
IntuneAttackSurfaceReductionPolicyConfiguration,B365-W10-Endpoint-ASR-Attack Surface Reduction Rules-LessRestrictive - attacksurfacereductionrules_blockprocesscreationsfrompsexecandwmicommands-WinServer,/attacksurfacereductionrules_blockprocesscreationsfrompsexecandwmicommands-WinServer,"""blockprocesscreationsfrompsexecandwmicommands_block""","""blockprocesscreationsfrompsexecandwmicommands_audit""",OutOfSync
IntuneAttackSurfaceReductionPolicyConfiguration,B365-W10-Endpoint-ASR-Attack Surface Reduction Rules-LessRestrictive - attacksurfacereductionrules_blockprocesscreationsfrompsexecandwmicommands-Win11,/attacksurfacereductionrules_blockprocesscreationsfrompsexecandwmicommands-Win11,"""blockprocesscreationsfrompsexecandwmicommands_block""","""blockprocesscreationsfrompsexecandwmicommands_audit""",OutOfSync
IntuneAttackSurfaceReductionPolicyConfiguration,B365-W10-Endpoint-ASR-Attack Surface Reduction Rules-LessRestrictive - attacksurfacereductionrules_blockuntrustedunsignedprocessesthatrunfromusb-WinServer,/attacksurfacereductionrules_blockuntrustedunsignedprocessesthatrunfromusb-WinServer,"""blockuntrustedunsignedprocessesthatrunfromusb_block""","""blockuntrustedunsignedprocessesthatrunfromusb_audit""",OutOfSync
IntuneAttackSurfaceReductionPolicyConfiguration,B365-W10-Endpoint-ASR-Attack Surface Reduction Rules-LessRestrictive - attacksurfacereductionrules_blockprocesscreationsfrompsexecandwmicommands-Win10,/attacksurfacereductionrules_blockprocesscreationsfrompsexecandwmicommands-Win10,"""blockprocesscreationsfrompsexecandwmicommands_block""","""blockprocesscreationsfrompsexecandwmicommands_audit""",OutOfSync
IntuneAttackSurfaceReductionPolicyConfiguration,B365-W10-Endpoint-ASR-Attack Surface Reduction Rules-LessRestrictive - attacksurfacereductionrules_blockuntrustedunsignedprocessesthatrunfromusb-Win11,/attacksurfacereductionrules_blockuntrustedunsignedprocessesthatrunfromusb-Win11,"""blockuntrustedunsignedprocessesthatrunfromusb_block""","""blockuntrustedunsignedprocessesthatrunfromusb_audit""",OutOfSync
IntuneAttackSurfaceReductionPolicyConfiguration,B365-W10-Endpoint-ASR-Attack Surface Reduction Rules-LessRestrictive - attacksurfacereductionrules_blockuntrustedunsignedprocessesthatrunfromusb-Win10,/attacksurfacereductionrules_blockuntrustedunsignedprocessesthatrunfromusb-Win10,"""blockuntrustedunsignedprocessesthatrunfromusb_block""","""blockuntrustedunsignedprocessesthatrunfromusb_audit""",OutOfSync
IntuneAttackSurfaceReductionPolicyConfiguration,B365-W10-Endpoint-ASR-Attack Surface Reduction Rules-LessRestrictive - attacksurfacereductionrules_blockallofficeapplicationsfromcreatingchildprocesses-WinServer,/attacksurfacereductionrules_blockallofficeapplicationsfromcreatingchildprocesses-WinServer,"""blockallofficeapplicationsfromcreatingchildprocesses_block""","""blockallofficeapplicationsfromcreatingchildprocesses_audit""",OutOfSync
